Tournament_id_female,Tournament_id_male,Tournament,City,Year,Level,Male/Female, Prize Pool Male , Prize Pool Female , Prize Male Winner , Prize Female Winner ,Attendance Tournament,Viewership Male Final,Viewership Female Final,Nr. Of Players
,,Shanghai_Masters,Shanghai,2013,Masters,Male," € 3,750,000.00 ",," € 720,000.00 ",,163000,2200000,,56
,,Acapulco,Acapulco,2013,ATP_500,Male," € 955,000.00 ",," € 250,000.00 ",,58000,1500000,,32
,,Basel_Open,Basel,2013,ATP_500,Male," € 1,755,000.00 ",," € 341,000.00 ",,69000,1700000,,32
,,Beijing_Open,Beijing,2013,ATP_500,Male," € 2,400,000.00 ",," € 475,000.00 ",,175000,2500000,,32
,,Hamburg_Open,Hamburg,2013,ATP_500,Male," € 1,230,000.00 ",," € 275,000.00 ",,65000,1300000,,48
,,Rotterdam_Open,Rotterdam,2013,ATP_500,Male," € 1,270,000.00 ",," € 310,000.00 ",,105000,1500000,,32
,,Dubai_Duty_Free_Open,Dubai,2013,ATP_500,Male," € 1,600,000.00 ",," € 400,000.00 ",,95000,1800000,,32
,,Barcelona_Open,Barcelona,2013,ATP 500,Male," € 2,166,000.00 ",," € 320,000.00 ",,100000,1600000,,48
,,Ningbo_Open,Ningbo,2013,WTA_500,Female,," € 100,000.00 ",," € 15,200.00 ",4500,,200000,32
,,Seoul_Open,Seoul,2013,WTA_500,Female,," € 220,000.00 ",," € 32,000.00 ",40000,,600000,32
,,Monterrey_Open,Monterrey,2013,WTA_500,Female,," € 220,000.00 ",," € 37,000.00 ",34000,,470000,32
,,Eastbourne_Open,Eastbourne,2013,WTA_500,Female,," € 637,000.00 ",," € 100,000.00 ",34000,,950000,28
,,Strasbourg_Open,Strasbourg,2013,WTA_500,Female,," € 235,000.00 ",," € 43,000.00 ",17000,,650000,32
,,Stuttgart_Open,Stuttgart,2013,WTA_500,Female,," € 795,000.00 ",," € 115,000.00 ",30000,,850000,28
,,Charleston_Open,Charleston,2013,WTA_500,Female,," € 795,000.00 ",," € 115,000.00 ",28000,,650000,32
,,Brisbane_Open,Brisbane,2013,WTA_500,Female,," € 655,000.00 ",," € 111,000.00 ",100000,,900000,30
,,Sydney_Open,Sydney,2013,WTA_500,Female,," € 637,000.00 ",," € 100,000.00 ",84000,,1000000,30
,,Tokyo_Open,Tokyo,2013,WTA_500,Female,," € 1,912,500.00 ",," € 327,250.00 ",87000,,1350000,28
,,Moskow_Open,Moscow,2013,WTA_500,Female,," € 1,100,000.00 ",," € 175,000.00 ",66000,,520000,32
